*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
Üzerlerinde yüksek sınıf ve seçkin bir görünüm vardır ve size karakter ve yetiştirme izlenimi verir. Bildiğim kadarıyla bu ülkede spor amaçlı yaygın olarak kullanılmamışlardır.

[İllüstrasyon: DACHSHUND CH. "WISEACRE". E. S. WOODIWISS, SAHİP.]

_Dachshunds._--Evcil hayvan olarak beslendiğini gördüğüm bir diğer tür ise _Dachshund_ veya adından da anlaşılacağı gibi Badger Dog'dur. Bence bu ülkede Porsuklar için nadiren veya hiç kullanılmazlar ve burada gördüklerimin çoğunun güvenliği için, bunun çok daha iyi olduğunu düşünüyorum, çünkü Porsuk'a veya sıklıkla adlandırıldığı gibi "Gri Giyen Yaşlı Beyefendi"ye aşina olan herkes, onun mücadeleye karşı zorlu bir rakip olduğunu bilir, kaslı, aktif, yere yakın, çok sert, sert bir kürkü ve uzun, güçlü çeneleri vardır ve yirmi ila otuz pounddan fazla ağırlığındadır, bu nedenle küçük bir köpeğin böyle bir hayvanı yenmeye çalışması için aktivite, güç ve yenilmez bir cesaret gerekir, bu kadar çok doğal avantaja sahiptir. Dachshund'ların birkaç yıl önce olduğu kadar evcil hayvan olarak tutulduğunu düşünmüyorum, ancak onlarla ilgili deneyimim olumlu, onları sevimli ve uysal, alışkanlıkları temiz ve mizaçları parlak ve canlı buldum. Çok uzun ve alçak yapılıdırlar, baş ve kulaklar tazı şeklindedir,
ön bacaklar kazma işlemlerini kolaylaştırmak için dışa doğru kıvrıktır,
kuyruk oldukça neşeli bir şekilde taşınır, tüy dokusu incedir, deri gevşektir, renkler
en çok tercih edilenler, koyu kestane kırmızısı, siyah ve ten rengi, çikolata ve diğer
kahverengi tonlarıdır ve son zamanlarda, "benekli" olarak adlandırılan, bir kahverengi tonunun zemini gibi görünen, aynı rengin daha koyu bir tonunun düzensiz lekeleriyle
sıçrıyor. Elbette her türlü köpek için sürekli olarak yeni patronlar ve patronlar türemektedir, ancak ben, ilk kez ortaya çıktıklarında, Dachshund'ların en coşkulu destekçileri ve yetiştiricileri olan kişilerin neredeyse hepsinin, yıllar sonra onları beslemeyi bıraktığını fark ettim, ancak neredeyse hepsi başka cinsleri besliyor, bu nedenle, benim durumumda olduğu gibi, taraftarları üzerinde kalıcı bir etki bırakan çeşitlerden biri olmadığını düşünüyorum, ister esasen yabancı yapımı cinslerden biri olması gerçeğinden, ister şu anda İngiliz ve Sömürge kökenli ve imalatı olan her şeyin teşvik edilmesinde hakim olan güçlü tercihin etkisinden olsun, bilmiyorum, ancak bu ülkedeki en büyük Dachshund yetiştiricilerinden en az onunu aklıma getirebiliyorum, sanırım şu anda aralarında tek bir örneği bile yok.

[İllüstrasyon: ROUGH BASSET. "GÜZELLİK" H. R. H. PRENS WALES, SAHİP.]

_Basset Hound'un Özellikleri._--Arkadaşım, merhum Sir Everett Millais, Bart. tarafından bu cinste istenen özelliklerin aşağıdaki açıklaması, bu cinsin desteklenmesinde oldukça hevesliydi ve bu çok güzel köpeklere hayran olan okuyucularım için ilginç olabilir (ve onları gören
kim bunu fark etmemiş olabilir ki?):--"Basset, boyutuna göre, belki de diğer tüm köpeklerden daha fazla kemiğe sahiptir. Kafatası, Bloodhound'unki gibi sivri, aynı onur ve ifadeyle; burun, siyah ve iyi sivri. Tazının boyutuna göre, dişlerin son derece küçük olduğunu düşünüyorum. Ancak, hayatı yok etmek için tasarlanmadıkları için belki de sebep budur. Kulaklar, Bloodhound'lar gibi sarkmalı ve en yumuşak kadife gibi olmalıdır. Gözler
derin kahverengi ve şefkat ve zekayla doludur. Oldukça derine yerleşmişlerdir ve önemli bir 'haw' göstermelidirler. Basset, 'kötü göze' sahip olamayan Tazılardan biridir. Boyun, uzundur ancak çok güçlüdür ve Basset'te jambes torses, flys neredeyse göğse kadar uzanır. Göğüs, Basset'te Bull Dog'dan bile daha geniştir ve Basset'te jambes torses, yerden iki inçten fazla olmamalıdır. Basset'te jambes demi-torses ve jambes droites durumunda, genellikle daha hafif olduklarından, göğüsleri elbette o kadar alçakta değildir. Omuzlar, çok güçlüdür ve Basset'in bir eklem kütlesi gibi görünen çarpık ayaklarında son bulur. Sırt ve kaburgalar güçlüdür ve büyük uzunluktaki ilki, kıç, genel olarak Tazılar gibi neşeyle taşınır ve Tazı av peşindeyken, vücudunun bu kısmı son derece canlanır ve bana, kendi Tazılarımda, taze veya soğuk bir koku aldıklarında, hatta en öndeki Tazının ne zaman dil çıkaracağını bile söyler! Arka kısımlar çok güçlü ve kaslıdır, kaslar sertçe dışarı çıkar ve dizlere kadar uzanır. Deri, düz tüylü köpeklerde yumuşaktır ve diğer tüm Tazılar gibi, ancak
kaba türde, Su Samuru Tazısı'nınkiyle aynıdır. Renk, elbette, bir fantezi meselesidir, ancak ben sonsuz derecede
'üç renkli' olanı tercih ederim, bu rengin kahverengi bir başı ve siyah beyaz bir gövdesi vardır."

_Dachshund'un Özellikleri._--Aşağıdakiler, bu tuhaf görünümlü cinsin başarılı bir yetiştiricisi, sergileyicisi ve yargıcı olarak çok iyi tanınan ve aralarında uzun bir deneyime sahip olan arkadaşım Bay A. O. Mudie tarafından yazılmıştır:--Baş, uzun ve dar, tepe iyi gelişmiş. Çene, güçlü ve
düz. Kulaklar, alçak, uzun, geniş ve yumuşak. Göğüs, derin ve dar;
göğüs kemiği belirgin. Ön bacaklar, çok kısa ve kemik olarak güçlü,
iyi eğri, ancak ayağın tüm kısımlarında eşit olarak duruyor. Deri,
kalın ve esnek. Tüy, kısa ve güçlü. Bel, iyi kemerli, güçlü
ve kaslı. Herhangi bir renk. Uzun, alçak ve zarif ve hantal değil."

BÖLÜM VI

SPORDA KULLANILAN KÖPEKLER (_Devam_)

TAZILAR--İSKOÇ GEYİK TAVULARI--İRLANDA KURT TAVULARI--BORZOİLER--WHIPPETLER

[İllüstrasyon: WHIPPET TAZISI BÖLÜM. "GERÇEK REÇEL." S. WOODIWISS SAHİBİ.]

_Tazılar._--Bu kesinlikle, şu anki haliyle ve
görünüşüyle ​​olsun veya olmasın, en eski ırklardan biridir ve atalarımız tarafından Hristiyanlık döneminin en erken döneminde beslendiğine inanılmaktadır.
Bu ülkeye Elfric, Mercia Dükü günlerinde getirildiği ve dokuzuncu yüzyılda bir Sakson şefi, avcısı ve bir çift Tazı'nın el yazması resimlerinin bulunduğu söylenmektedir. Her ne kadar
genellikle bir tavşanı izlemekten ve onu yakalayana kadar peşinden koşmaktan veya kaçana kadar koşmaktan daha fazla zekaya sahip olduğu düşünülmese de, bu kitapta daha sonra, iyi doğrulanmış olduğuna inandığım bazı
sağduyulu hikayelerden bahsediyorum ve şimdi cinsin ayrıntılı bir tanımını vereceğim:--

_Tazının Özellikleri._--Baş, dar ve ince, yeterli
kaslı; burun düz olmalı (eğimli değil, çoğu, aksi takdirde iyi, "Roma burunları" tarafından
şımartılmış); burun sinüsleri gelişmemiş; gözler dolu ve parlak, hayat dolu; yarı dik, küçük, iyi şekilli kulaklar; boyun uzun,
hafif eğimli; göğüs geniş, bol miktarda "akciğer gücü", geniş olmaktan ziyade derin; omuzlar derin, tepesi dar, yarış atlarının omuzları gibi pozisyonlarında; ön bacaklar düz, iyi yerleştirilmiş, iyi kaslı; ön kollar,
uzun, güçlü ve kaslı; ayaklar kompakt ve çok uzun değil; iyi kemerli
kaburgalar; geniş, büyük ve kaslı kalçalar; uzun, güçlü, hafifçe kemerli sırt;
diz ve ayak bilekleri alçakta; kürk saten kadar parlak (ancak birçok iyi "performansçı" bunun tam tersi olmuştur); Renkler: beyaz, kırmızı, brindle,
mavi ve beyaz, açık kahverengi, siyah, kırmızı ve açık kahverengi, vb., tamamen zevk meselesidir. Bazı insanlar, siyahlardan ve siyah ve beyazlardan, diğer renklerden daha fazla büyük kazananın
üretildiğini düşünür. Gösteri kazananları söz konusu olduğunda ve benden önce bu cinsten çok sayıda kişi oldu, brindle, siyah ve açık kahverengilerin
en sık kazanan renkler olduğunu düşünmeye meyilliyim.

[İllüstrasyon: DEERHOUND, CH. "SELWOOD DHOURAN". R. HOOD WRIGHT, SAHİP.]

_İskoç Geyik Tazısı._--Bu zarif
hayvanları (Sir Walter Scott'ın durumunda olduğu gibi) sık sık evde
yaşadıklarını görmüş olsam da,
onlarda engebeli, bataklık ve bununla birlikte iş gibi bir görünüm var ki bu da size
en lüks ev konutundan ziyade, açık havada, fundalıkta veya dağ yamacında daha çok evlerindeymiş gibi hissedecekleri fikrini veriyor. Bunlardan herhangi birine sahip olalı epey zaman oldu,
ama bu cinse karşı çok düşkündüm ve bir süre sergilerdim,
ve örneklerimin bazılarının sıklıkla gösterdiği zarafeti ve aktiviteyi iyi hatırlıyorum. Her zaman gösterilere gidip onlara bakarım. Şu anda çok fazla ilerleme kaydettiklerine ikna olmadım,
ama şüphesiz iyi örnekler var. Çok fazla yeni cins çıkarılıyor ve öne çıkarılıyor,
bazı eskilerinin ihmal edilmesi muhtemel.

_İskoç Geyik Tazısının Özellikleri._--Bu cinsin özellikleri, tanınmış bir yetiştirici ve sergici tarafından şu şekilde belirtilmiştir:--Baş, uzun ve dar, kulaklardan kademeli olarak incelir, diz düz; burun, siyah,
bazen mavi siyah ve sivri, dudaklar düz, kulaklar küçük, yüksekte ve kıvrımlı, yumuşak, ipeksi ve uzun tüylerden arınmış; boyun
uzun ama güçlü, ense çok belirgin, omuzlar eğimli, ayak parmakları yakın ve
kemerli, göğüs derin, gövde uzun ama iyi kaburgalı; bel kalçalar boyunca
büyük genişlikte kemerli, diz iyi bükülmüş, uyluklar uzun; kuyruk
alçakta, kıvrık ama tüysüz, tüy gövdede sert ve kaba, yele boyunda
ve bacakların, uylukların ve kuyruğun iç kısmında hafif saçak. Renkler:
koyu mavi veya siyah benekliden açık gri benekliye, soluk,
açık kahverengi, soluk ve donuk renge kadar tüm tonlar. Göğüste ve ayaklarda sıklıkla görülen beyaz işaretler, ancak
en sakıncalı olanı.

[İllüstrasyon: İRLANDA KURT TAZISI CH. "SHEELAH" CAPN GRAHAM SAHİBİ.]

_İrlanda Kurt Tazısı._--Sanırım bu görkemli eski türle ilgilenen hemen hemen herkes, eski zamanlarda "Romalılar" tarafından iyi bilindiği ve çok
değer verildiği söylenen, bu görkemli eski türe ilgi duyan, mevcut nesilden hiç kimsenin, geçmişteki tür tarihini araştırmaya ve hem deneysel yetiştirme yoluyla hem de başkalarında benzer bir şevk uyandırarak, türe ait geçmiş ihtişamların en azından bazılarını şimdi ve gelecekte canlandırmak için elinden geleni yapmaya, Dursley'li Kaptan George Graham'dan daha fazla zaman ve emek harcamadığının farkındadır ve ben de bu konuda elde edilebilecek en yüksek otorite olarak, onun mükemmel ve ilginç bir makalesinden birkaç alıntı yapmaya cesaret ediyorum: "_Eski İrlanda Kurt Tazısı'nın_ biçimi, uzun, ağır bir İskoç Geyik Tazısı olmalı, çok daha iri ve çok görkemli görünümlü, aktif ve
hızlı, belki de şu anki türümüzden daha az Geyik tazıları; boyun
formuna kıyasla kalın ve çok kaslı, gövde ve çerçeve uzun.
_Baş_, uzun ama dar, buruna doğru nispeten bir noktaya geliyor,
burun oldukça büyük; ve baş aynı yerden kafatasının arkasına doğru giderek genişliyor,
gözlere kadar keskin değil ve sonra
aniden geniş ve kambur. _Tüy_, tüm vücutta, başta, bacaklarda ve kuyrukta kaba, sert ve uzun. Baştaki tüyler uzun, ama gövdedekinden daha yumuşak,
gözlerin üzerinde cesurca öne çıkıyor, çenelerin altındaki sakal çok belirgin ve
tel gibi. Renkler: siyah, gri, alacalı, kırmızı ve açık kahverengi, ancak eskiden _beyaz_ köpekler
değer görüyordu. _Kulak_, başın büyüklüğüne göre küçük ve dik, tıpkı Düz ​​Tazılarda olduğu gibi. Koyu renkliyse
tercih edilmelidir. _Kuyruk_, sadece yukarı doğru bir eğriyle taşınmalı ve birçok Tazıda olduğu gibi
kıvrık olmamalıdır. _Boyut._ Bu köpeklerin boyunun otuz iki ila otuz dört inç, hatta köpeklerde otuz beş, dişilerde ise yirmi dokuz ila otuz bir inç arasında değiştiğini güvenle çıkarabiliriz. Diğer boyutlar, iyi şekilli ve gerçek yapılı köpekler için doğal olarak aşağıdaki gibidir. _Göğüs çevresi._ Köpekler otuz sekiz ila kırk dört inç; dişiler
otuz iki ila otuz dört inç. _Ağırlık._ Köpekler yüz on beş ila yüz kırk pound; dişiler doksan ila yüz on beş pound. _Ön kol çevresi._ Köpekler on ila on iki inç; dişiler
sekiz buçuk ila on inç. _Baş uzunluğu._ Köpekler on iki buçuk ila on dört inç; dişiler on bir ila on iki inç. Çoğu
modern yazar ve yazarın danıştığı köpek ırkının tüm pratik severler, yukarıdakilerin tartışmasız doğru köpek türü
olduğu konusunda hemfikirdir. "

_İrlanda Kurt Tazısının Gösterim Noktaları._--Kafatası, uzun ama hayvanın boyu ve ağırlığına göre oldukça dar, çok yavaş bir şekilde buruna doğru incelir, burun büyük olmalıdır; kulaklar küçük; gözler koyu ela; boyun orta uzunlukta ve çok kaslıdır; omuzlar eğimli, göğüs oldukça geniş ve
çok derindir; vücut uzun ve çok güçlüdür, ancak herhangi bir sakarlık şüphesinden uzaktır; ön bacaklar düz ve kemiklidir; ayaklar kompakt ve
iyi boyutta ve iyi yastıklıdır; arka kısımlar çok kaslıdır, bükülmüş diz ve diz eklemleri vardır; kuyruk benzer şekilde oldukça yukarı doğru taşınır; kürk, bol, sert ve hava koşullarına dayanıklıdır; en yaygın renkler çizgili, siyah veya açık kahverengidir, ancak beyazlar _bilinir_. Boyut, mümkün olduğunca
uzundur.

[İllüstrasyon: BORZOI, CH. "ALEX" H. R. H. PRINCESS OF WALES, SAHİP.]

_Borzois._--Son yıllarda çok daha fazla sayıda olan ve sadece soylular ve asiller tarafından değil, hatta Galler Prensesi H. R. H. tarafından bile himaye edilen Rus Kurt Tazılarının adı olan Borzois'ten bahsedeceğim. H. R. H. kulübelerinden bir şampiyonun portresi bu çeşitliliği göstermektedir. Galler Prensi H. R. H.'nin bu cinsin bazı örneklerini uzun yıllar önce Warwick'te, benim orada yargıçlık yaptığım birçok olaydan birinde sergilediğini hatırlıyorum ve doğru hatırlıyorsam Leydi Charles Innes Ker de aynı gösteride bu cinsin sergileyicilerinden biriydi, ancak ikincisinin sergilediği, günümüzde küçük ve zayıf örnekler olarak kabul edilebilecek olanların rengi, kürkü ve türü, şu anda Rusya'dan ithal edilenlere benziyordu, o zamanlar Prens H. R. H. tarafından sergilenenler (sanırım, o zamanki Rusya İmparatoru'ndan kendisine hediye olarak verildiği söyleniyordu) soluk krem ​​veya açık taş rengindeydi, daha sert kürkleri vardı ve hepsi birlikte çok açık renkli İskoç Geyik Tazıları stilindeydi. Ancak şunu söyleyebilirim ki, zarafet, esneklik, form güzelliği ve hareket açısından Borzoi'leri geçecek hiçbir cins yok ve popülaritelerinin artmaya devam edeceğinden şüphem yok. Cinste en çok aranan noktalar şunlardır:--dar, kubbeli ve uzun kafatasları, uzun, güçlü çeneler, oldukça kemerli burunlar, yumuşak ve zeki ifade; çok güçlü, hafif kemerli ve uzun yanlar, eğimli omuzlar, derin ancak oldukça dar göğüsler; belde kademeli bir eğriyle yükselen sırtlar, çok kaslı, ancak oldukça "yukarı çekilmiş" gibi görünüyor; ön bacaklar düz, güçlü ve vücudun altında; ayaklar yakın ve iyi yastıklı; arka kısımlar son derece kaslı ve güçlü, sırtlar iyi aşağı indirilmiş, kuyruk alçakta, zarif bir eğriyle; kürk bol ve ipeksi görünümlü, renkler genellikle limon, gri veya kırmızı işaretlerle beyazdır, ancak kendiliğinden renkli örnekler sıklıkla görülür; genel görünüm, yüksek yetiştirilmiş, seçkin görünümlü, zarif bir hayvandır, bir İskoç Geyiği Tazısı'nın şekli ve boyutu gibidir, ancak birçok açıdan ondan farklıdır. Bu cinsi, herhangi bir kulüp veya sınıf sağlanmadan çok önce yargıladığım için, her zaman ona çok ilgi duydum ve ne kadar hızlı bir şekilde halkın beğenisine
kazandığını görmekten memnun oldum.

[İllüstrasyon: WHIPPET CH. "ENTERPRISE" H. VICKERS, SAHİP.]

_Whippet._--Boyutları ve zarif şekilleri onları uygun hale getirse de, bence Whippet veya bazen adlandırıldığı gibi "Koşan Köpek", genellikle sadece bir evcil hayvan veya arkadaş olarak değil, daha çok ayaklarının çevikliği hakkında biraz spekülasyon aracı olarak tutuluyor. Okuyucularımın çoğunun bildiği gibi, küçük boyutlu bir
Tazı, başı oldukça uzun, gözleri arası geniş, tepesi düz, çenesi
güçlü ama temiz, düzgün dişler, parlak gözler, küçük gül kulaklar, uzun,
kemerli boyun, boğazlılık yok, kaslı, eğik omuzlar, derin göğüs,
güçlü bel, kemerli sırt, oldukça uzun ve geniş. Bacakları düz, kısa
ve kaslı uyluklar, ayakları yuvarlak ve iyi ayrılmış, kuyruğu ince ve
uzun, iyi bir duruşa sahip. Tüyleri ince ve sık, renkleri beyaz, çizgili,
açık kahverengi, mavi, kırmızı, siyah ve her ikisinin karışımı. Son yıllarda bu köpeklere olan ilgi büyük ölçüde canlandı ve yarışmaları için önemli
ödüller teklif edildi. Ayrıca, bu köpekler için sınıflar sağlayan şovlardaki katılımlarda belirgin bir artış fark ettim ve
birkaç kez, daha büyük şovlarda, "Kara Ülke"deki kömür madencileri ve işçi sınıfından diğerleri tarafından büyük ölçüde
bakılan bu cinsin birçok güzel örneğini içeren iyi sınıflar aldım.

BÖLÜM VII

SPORDA KULLANILAN TERRİERLER

FOX--DANDIE DINMONTS--SKYES--İSKOÇ

[Resim: (ESKİ TİP.) SMOOTH FOX TERRIER "BELGRAVE JOE" L. TURNER,
SAHİP]

[Resim: (YENİ TİP) SMOOTH FOX TERRIER CH. "CLAUD DUVAL" G. RAPER
SAHİBİ.]

_Fox Terrier'ler._--Bu cins benim ilk ödülümle ilişkilendirildiğinden, bir okul çocuğuyken, şimdi, birkaç yıl önce, ancak köpek gösterileri "Black Swans"tan çok daha nadirken, her zaman ona çok ilgi duydum ve cinsin ayrıldığı Smooth ve Wirehaired çeşitlerinin birçok iyi örneğine sahip oldum. İkisi de çok iyidir ve ikisinin de çok sayıda hayranı vardır. Şu anda sergi açan meraklıların bir kısmı, benimle birlikte, "Tel Tüylüler" için hiçbir dersin verilmediği zamanı hatırlayacaktır ve siz (benim sık sık yaptığım gibi) onları "Kırık Tüylü Teriyerler" olarak göstermek zorundaydınız ve genellikle sınıfınızda Dandie'ler, Skye'lar, Bedlington'lar, İskoçlar (o zamanlar Airedale'ler yoktu), İrlandalılar ve eski İngilizler gibi bu heterojen ailenin neredeyse tüm üyeleriyle karşılaşırdınız, bu da yargıcın ve sergicilerin sinirlerini bozmaya ve kararın en iyi hangi numunenin sergileneceğine bağlı olmasına yetiyordu. Ancak o günlerden beri Fox Teriyerleri uzun süreli bir popülerlik kazandı ve "Tel Tüylüler" bölümünün göz ardı edilmesinden bugüne kadar, bazı sergilerde bu bölümde Smooth kardeşlerinden daha fazla giriş gördüm ve yüksek sınıf numuneler için verilen rakamlar, onlardan önce olmasa bile, kesinlikle çok geride değil. Elbette, yüzlercesi, aslında ülkedeki Fox Terrier'lerin büyük çoğunluğu, doğal yaşamları boyunca hiç Tilki görmemiştir ve muhtemelen de görmeyecektir ve (çevremizde gördüğümüz birçok Dachshund ve "Badgers" için söylediğim gibi, her yerde karşılaşılabilecek Fox Terrier'lerin çoğu için de aynı şeyi söylüyorum) bu onlar için çok daha iyidir, çünkü bir Tilki, _kendi topraklarında_, yani bir Terrier'in başa çıkması gereken yerde, kural olarak, başa çıkılması gereken bir "süt ve su" hayvanı değildir ve saldırganlarının güç, azim, cesaret ve yetenek gerektirir. Okuyucularımın çoğu tarafından çok başarılı bir yetiştirici, sergileyici ve cinsin yargıcı olarak tanınan arkadaşım Bay Francis Redmond'un ifade ettiği gerekli noktaların aşağıdaki açıklamasının kısa duyurumu uygun bir şekilde sonlandıracağını düşünüyorum:--"Fox Terrier'de en önemli noktalar şunlardır:
Baş, kulaklar, bacaklar ve ayaklar, boyun ve omuzlar, sırt, bel ve arka kısımlar, zekâ, aktivite, boyut ve 'Terrier karakteri.' _Baş._ Kafatası düz ve orta derecede dar, kulaklar arasında daha geniş ve gözlere doğru giderek incelen, kırışıksız olmalıdır. Ancak
profil dışında, küçük bir eğim veya girinti görülmelidir.
Çene temiz kesilmiş, oldukça uzun, güçlü ve kaslı olmalı, yanaklarda çok az veya hiç dolgunluk veya çıkıntı olmamalıdır. Gözlerin altında çok hafif bir düşüş vardır, ancak bu çok kademeli olmalı ve sivri veya kama gibi bir görünüm
verecek kadar olmamalıdır. _Dudakların_
fazla deri olmadan oldukça sıkı olması gerekir. _Burun_ oldukça siyah olmalıdır. _Gözler_ küçük olmalı, çok geniş aralıklı olmamalı,
ne çok çökük ne de çıkıntılı, koyu renkli, hayat dolu ve
zekâlı olmalıdır. _Dişler_ güçlü ve düz, kesici dişler alttakilerin hemen üzerine kapanıyor. _Kulaklara_ büyük önem atfedilir, V şeklinde, oldukça küçük, oldukça kalın ve öne doğru taşınmış, düz ve yanağa yakın. _Boyun_ orta uzunlukta, temiz ve kaslı,
iyi yerleşmiş olmalı, omuzlar başa doğru kademeli olarak incelir. _Omuzlar_,
uçlarda ince, uzun ve eğimli, göğüs derin, geniş olmaktan ziyade dar. Omuzlar ve göğüs son zamanlarda hakimler tarafından çok ilgi gördü; ağır omuzlar ve geniş göğüsler bu köpeklerin işi için iyi değil. _Sırt ve bel._ Sırt düz ve güçlü, kaburgalar iyi yaylanmış, bel güçlü, geniş ve kare, sırt kaburgaları derin olmalıdır. Bel
hafifçe kemerli olabilir, ancak 'tekerlek geri' yaklaşımı yoktur. _Arka kısımlar_
çok güçlü, arkadan bakıldığında geniş, bol kaslı uyluklar, uzun olduğu kadar büyük, dizler hafifçe bükülmüş, topuklar düz olmalıdır.
Kalça, topuktan dize kadar kısa ve güçlü. _Kıç_ oldukça yüksekte,
neşeyle taşınıyor, sırtla 'dik açı'nın üzerine çıkmıyor; eğer varsa,
biraz kaba. _Bacaklar ve ayaklar._ En büyük dikkatin verilmesi gereken aşırı değerli nokta. Dirsekler iyi aşağı indirilmiş, vücutla aynı hizada. Ön bacaklar, nasıl bakılırsa bakılsın, 'tüfek namlusu kadar düz', dik, güçlü pasternlerle; kemikleri güçlü, dirsekten ayağa kadar kasla kaplı, en sağlam, kesintisiz bir görünüm veriyor; ayaklar, yuvarlak ve kedi benzeri, çok kompakt, ayak parmakları kısa ve sadece orta derecede
kemerli, tabanlar adamant kadar sert; ayak ne içeri ne de dışarı dönmemeli, herhangi bir sapma varsa, içeri dönmeli; arkasında çiy pençesi olmamalıdır. _Palto_ pürüzsüz, dokusu sert, çok sık ve bol, giyeni her türlü hava koşulundan koruyan bir ceket olmalıdır. Renkler: beyaz baskın olmalıdır.
Çatallı, adaçayı, karaciğer veya kırmızı, işaretler sakıncalıdır. _Boyut._
Fox Terrier ne uzun bacaklı ne de yere çok yakın olmalı, ne de
hantal olmalı, ancak bolca 'özgürlüğe' ve dörtnala koşma gücüne sahip olmalı,
iyi kemik ve öz; adil hız ve dayanıklılık esasen meşru çağrısı için
gerekli. Çalışkan durumda on yedi pound,
ortalama bir ağırlıktır, ancak bu her iki şekilde de bir pound veya daha fazla değişebilir. Yapı, şekil, iyi omuzlar ve göğüs, bu açıdan gerçek ağırlıktan çok daha iyi kriterlerdir.--"

[Resim: (ESKİ TİP) TEL TÜYLÜ FOXTERRIER CH. "LORY" C. H. LANE
SAHİBİ.]

[Resim: (YENİ TİP) TEL TÜYLÜ FOXTERRIER CH. "ROPER'S NUT-CRACK".
SIR H. DE TRAFFORD BT. SAHİBİ.]

Yukarıdakiler "Pürüzsüz" için geçerlidir, ancak aynı çizgilerde değerlendirilen "TEL TÜYLÜ FOXTERRIER" için de mükemmel bir standarttır, ancak ikincisinde yaklaşık iki inç uzunluğunda, çok yoğun ve tel gibi olmalı, hiçbir şekilde tüylü veya yünlü olmamalıdır.

[Resim: DANDY-DINMONT. CH. "BLACKET-HOUSE HENÜZ" BAYAN RAYNER,
SAHİP.]

_Dandies._--Çok değerli ve hakiki bir tür olan _Dandie Dinmont
Terrier_, sanırım ilk olarak Sir Walter Scott'un yazılarıyla kamuoyunun dikkatini çekti ve ben çoğu insandan daha fazlasını yetiştirdiğim, sahiplendiğim, sergilediğim ve yargıladığım için, son derece zeki olduklarını söyleyebilirim (deneyimime göre, herhangi bir Terrier türünden çok daha zekiler ve sanırım çoğunu besledim), sahiplerine "doğuştan sporcu" olarak bağlılar, karada veya suda her zaman "spor"a açık, atak ve ruh dolu, tuhaf ve pitoresk bir görünüme sahipler ve her iki cinsiyet için de ideal arkadaşlardır. Elbette, doğuştan ve köken olarak İskoçlar, ancak ne kadar çok
görülüp bilinirlerse, o kadar çok sevilecekler ve İngiltere'ye o kadar çok
